Station,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500,Direction
Baker Street,7309.359413499999,0.7147599200000001,1.1699287,3.6240067000000002,6.5224203,10.2059695,13.55379358,19.7089336,25.9662348,43.01797320000001,61.788424000000006,86.167624,103.20667519999999,116.5139972,108.32615600000001,99.45971800000001,79.4050952,65.89535160000001,54.76147099999999,53.3138598,48.0331886,48.85934,46.731353000000006,44.979572999999995,43.7907646,45.2516578,46.3564352,49.34640039999999,51.64605780000001,54.39953060000001,57.26172260000001,60.44376260000001,62.59826999999999,65.86184,68.6985,70.180622,72.538979,77.262139,85.725269,95.447553,108.087095,119.312922,132.11001399999998,146.69721,155.890878,179.125746,188.373766,202.292572,200.852586,213.514802,203.690972,215.00796000000003,210.627332,224.26853200000005,217.31208800000005,214.128308,196.00187800000003,180.818754,156.804034,141.235181,127.331027,119.43523300000001,112.16296499999999,104.178119,99.495546,93.819981,88.0264722,86.88270220000003,88.7555022,89.8004122,83.30642519999998,81.344998,78.92114000000002,70.325294,59.37908540000001,53.222162,44.24471360000001,32.137352,20.912156,11.7271326,6.978864,2.0841504,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Bermondsey,6257.3863755600005,6.091088139999999,10.88330954,19.69460034,31.76990714,47.202766,56.97286700000001,80.3278056,99.81967480000002,129.68228800000003,147.01131200000003,182.39256,202.866652,238.222696,232.724226,237.23142400000003,217.857216,202.06213,158.54072499999995,141.486513,120.86417900000001,106.6492442,88.86910019999998,83.20947199999998,77.65927880000002,73.8114928,69.82478359999999,67.88684959999999,66.5533588,65.969669,63.922589,63.08450100000001,62.585783,62.2318554,60.78955800000001,61.51971680000001,61.906977399999995,62.75182940000001,63.48611500000001,64.97634740000001,67.0696114,71.87425479999999,75.9846988,84.1357568,87.6255858,97.498929,99.051467,108.38028500000001,109.84710700000001,119.1684,117.70468000000001,124.861498,117.655824,115.86599199999999,106.2463652,99.1804462,88.3371072,79.14784460000001,66.9161476,58.78751379999999,50.919878800000006,43.92106440000001,39.06399,36.5925536,34.6183234,32.38445540000001,29.64046680000001,29.722991000000004,27.6854004,25.914011,23.1611316,20.692151000000006,18.4226884,16.3563714,12.2466636,10.465543199999999,8.4672768,5.012742200000001,2.4666972,1.9598732,0.940127,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Bond Street,16460.43073827,0.061063534,1.204234454,8.779851654,18.507442654000002,34.342049654,50.29362812,74.90582119999998,90.43567000000002,116.621679,130.21066000000002,149.256996,157.400586,175.232672,164.08721599999998,155.27155000000005,138.878468,125.23131920000002,99.6624792,91.634272,87.368572,86.8716732,84.03458599999998,87.011992,89.18099840000001,93.8722444,95.0794084,98.0061984,101.7229512,108.915122,112.79558999999999,119.7722548,126.71560079999999,134.84707,139.17561,147.408742,157.868032,169.40505000000005,176.273942,187.422172,205.56319,229.90552999999997,243.063712,275.61832000000004,315.956996,352.963654,383.415808,435.21994600000005,476.23308600000007,528.3993260000002,551.6886220000001,595.1372240000002,607.10888,628.29672,593.065306,555.3697980000001,500.82170599999995,451.56957800000004,379.36541800000003,345.287098,330.01779799999997,303.275308,283.07566,278.53177000000005,258.76638399999996,243.261556,229.38740800000005,228.43937800000003,219.853544,216.05803999999998,202.806032,184.766518,158.65778799999998,128.905051,100.960719,78.53318900000002,63.98879839999999,48.04780960000001,31.315610600000007,18.047766600000006,10.6129006,3.3063232000000005,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Canada Water,19704.511705439996,9.25448016,22.03083976,50.13755376,91.74756376,142.79862119999999,188.96552760000003,252.83056800000003,323.297566,390.179276,462.44803200000007,558.484578,637.0982980000001,696.9602540000002,697.8850140000002,691.8155440000003,634.8702620000001,568.8243460000001,490.9303220000001,439.696962,381.2079920000001,344.6604220000001,305.61556400000006,275.121534,268.828666,259.09348400000005,246.0597,243.08182600000004,242.70957600000003,241.024566,239.832642,242.67525200000003,243.175468,238.521372,234.99079,229.083504,225.46509,224.89088399999997,223.126866,224.071512,236.93274,248.333934,255.27223199999997,274.691776,286.80363,303.3093140000001,308.741534,330.1984260000001,342.5554400000001,371.08368600000006,371.871966,388.915466,377.04362200000014,369.054074,326.7137380000001,300.528224,263.48566400000004,235.867366,197.770082,175.46681999999996,152.39573800000005,131.86093799999998,112.66126799999999,99.22440999999999,91.37875,83.426458,74.8566548,70.94671559999999,68.96558359999999,64.0410756,57.8282828,55.081039200000006,50.06602,41.75331140000001,34.1018034,27.532610100000003,19.33783664,11.44493504,6.2286576400000015,3.0345256400000014,0.21303974,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Canary Wharf,34529.832091600016,13.0042802,26.5223202,36.7971706,59.980748600000005,81.16438120000001,103.90477839999998,131.17923439999998,173.941384,207.72959000000003,250.96598999999998,306.97683600000005,384.944606,448.97526600000003,496.448002,504.31449800000007,502.71317999999997,443.344354,381.951102,329.223696,304.357822,275.13367,264.723926,258.179654,259.5773,260.174772,259.167582,263.12372200000004,273.32270000000005,277.270934,272.393408,273.10886800000003,277.100158,274.30095800000004,270.02929000000006,278.60202000000004,290.94301800000005,302.990362,313.586198,346.4446220000001,371.8921,400.280546,430.465142,496.37268,547.905462,639.5869620000002,733.219012,946.121646,1134.276258,1356.594626,1499.5910600000002,1658.6046,1630.5639800000001,1597.4222,1446.81456,1348.01652,1160.61986,1037.66244,852.3629260000001,742.5221799999999,597.7452000000002,503.71932,395.66119200000014,344.6138660000001,289.380044,251.589258,224.62103,214.4354620000001,193.52831200000003,170.78935600000003,159.778128,147.152456,124.507136,108.644463,93.1644516,74.91544959999997,54.2883412,34.1116972,19.1822402,13.5825156,4.9150116,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Canning Town,25866.245497200005,53.206799399999994,100.0565894,182.6058574,280.6143714,369.075532,451.726258,534.9506980000001,597.864382,602.6985559999999,644.9062960000001,665.6145900000001,715.1896880000003,713.4352680000002,763.912734,754.1083140000002,731.1510139999999,637.7975120000001,579.400466,495.645918,437.98429400000003,387.220214,352.474688,332.44735799999995,329.651436,315.1463760000001,307.636156,324.90120600000006,314.185806,309.5201560000001,302.438216,304.81637600000005,291.8644960000001,305.1060480000001,299.105454,318.753758,311.336234,322.75090400000005,300.5516760000001,338.454406,327.359226,341.318034,364.748922,393.16059600000006,397.46618600000005,422.99749199999997,447.98858,450.899638,484.14684400000004,481.10964400000006,498.467118,487.2434,474.50499400000007,431.012434,397.730454,338.912258,296.57656800000007,263.896348,233.504788,200.777608,186.553528,169.568152,151.192972,141.022376,135.889072,125.8538768,113.58914879999999,100.5112208,94.3029588,83.79562879999999,75.5487432,71.0672212,65.413566,58.571748,52.98276700000001,46.01524920000001,35.36422992000001,24.26953312,14.104369120000005,6.0685841200000015,0.4333187200000001,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Canons Park,67.03674978300002,0.005692522200000001,0.005692522200000001,0.1024906422,0.27362952220000003,0.3350716582000001,0.7212557359999999,1.326208396,1.450447776,1.773147736,2.1356558000000003,2.30936352,2.8804074600000007,3.1413126200000003,2.8284516600000003,2.54540486,2.3072951200000005,1.25529656,0.7878458359999999,0.67229381,0.617968922,0.37431835,0.34472555,0.5138263940000001,0.67691204,0.762547548,0.807668534,0.7913809260000001,0.8109690460000001,0.777911536,0.6983106459999999,0.664845582,0.6772292459999999,0.56294812,0.508747542,0.552570004,0.6817359340000001,0.872661398,1.1634009840000001,1.259448812,1.30171178,1.23567896,1.18272422,0.986142072,0.90212214,1.06588422,1.03733884,1.02942542,0.917148288,0.99519278,0.8435392920000001,0.925684412,0.891715684,0.9014669740000001,0.9163567340000001,0.8579529619999999,0.8832743820000001,0.82231549,1.06307804,0.87094231,0.8268698659999999,0.741758646,0.7511016560000001,0.429807736,0.4750652580000001,0.42335654,0.36971692,0.259127508,0.32420992000000004,0.224872568,0.29057631,0.28338039800000003,0.30542855399999996,0.2522555084,0.2522555084,0.14992954840000006,0.05834210040000001,0.0119093664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Dollis Hill,1138.4667201500001,0.0,0.34035948,1.9336293999999998,3.3961674,4.881919,8.2400542,10.83883832,14.769113,22.548000400000006,26.5676848,36.0677396,43.0922534,45.36384820000001,38.62945799999999,36.779046799999996,26.600605600000005,19.8853326,14.728259,15.120908199999999,13.7252434,14.4401464,13.469533199999999,12.737972599999999,12.234527600000002,12.3200106,10.878801,10.6947918,10.7525015,10.3768949,10.2684849,9.82744304,10.62495984,11.13321494,11.20835984,11.793288840000002,13.2436451,13.7173267,14.272661900000001,16.188075400000002,15.946364,16.608012000000002,16.883499200000006,18.3804292,19.135757199999997,22.9138906,23.619968000000004,27.608010800000002,28.2407708,29.904953000000006,28.8780044,28.967489,26.274514600000003,25.353465000000003,23.6404782,21.3498824,19.494227600000002,16.374703,14.3092508,11.095182199999998,9.481881199999998,7.8824513,7.36274344,6.38765564,6.00789432,5.46070778,5.30372516,5.03452092,4.83267526,4.59763268,4.24734396,3.88692612,3.2218571000000003,2.68599524,2.47009034,2.69621492,2.42918516,2.18343214,1.81190155,1.13896435,0.3833764300000001,0.20292475000000004,0.08666749000000001,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Finchley Road,5145.383942999997,0.0,0.7189726400000002,1.80958792,2.48368832,5.090643120000001,9.47239352,14.68197588,23.6696626,36.77802020000001,50.33086540000001,63.85282700000001,74.142844,78.10072000000002,74.65231800000002,68.40814759999999,59.05379020000001,47.49803620000001,40.38960700000001,35.761691,32.504128800000004,29.511440800000006,30.080850599999998,28.7630994,30.0992248,29.903830600000003,31.575253999999997,33.8033822,37.648018,39.7311356,42.17930240000001,44.55951640000001,47.74120300000001,49.0567402,50.2247646,51.7393246,53.64209,54.9233934,57.454100800000006,61.8241414,59.8424746,66.6520352,74.2293892,85.3504652,102.0119052,115.262778,128.99856200000002,144.42158600000005,155.68110400000003,168.82651600000003,182.972974,194.556296,195.73789800000003,195.195904,186.09195,184.763186,166.33047000000005,151.94043480000002,130.30430760000002,112.0441156,92.8303816,80.26538200000002,69.6466,66.3760132,59.97904200000001,53.67887200000001,51.11023960000001,48.2179658,46.9110372,43.45803640000001,41.40688540000001,36.1969346,32.3046576,26.509319800000004,21.5529174,15.7293837,12.391361300000002,8.77325802,5.85710168,3.55732208,2.43361078,0.90819598,0.21434126,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Green Park,16743.766859000003,1.9929628,6.0345108000000005,16.6529892,39.2289132,61.629801199999996,77.9366964,104.6364684,131.407516,156.605758,179.514386,217.74558199999998,253.32553199999998,285.31037799999996,286.683666,281.10807000000005,261.25781600000005,226.766014,186.76913800000003,165.85326000000003,152.10693999999998,141.918138,135.68717600000002,127.94025,126.735542,130.07554,130.431628,133.136726,141.44909199999998,146.52574600000003,146.156082,146.716758,152.402834,160.78999199999998,159.88980200000003,158.89051600000005,166.16513799999998,172.284628,169.76832800000003,182.628848,205.00239600000003,218.86206400000003,237.74284800000004,266.41517400000004,310.57850200000007,339.34951,387.742598,421.48264400000005,468.529752,504.49781200000007,524.3872160000002,542.8808960000001,550.5184800000002,545.814744,510.377438,477.16477000000003,422.431478,368.778234,303.310082,255.9002,228.08723999999998,202.480326,189.80627200000004,180.49591999999998,177.31050800000003,173.38333200000002,167.87982000000005,169.219004,174.426424,172.39283400000002,173.803618,168.19484599999998,156.640154,141.634678,124.192674,100.83974920000001,90.1784052,70.29184659999999,48.03891460000001,29.351868600000003,17.254205400000004,3.9382193999999995,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
